Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
49,tt5971474,2022-03-30,2023-10-19,"May 26th (Disney/Disney Live-actions) 
Budget: $250,000,000
3-Day Opening: $95,578,040
4-Day Opening: $118,818,903
Domestic: $298,172,056
International: $271,454,233
Worldwide: $569,626,289

Status: Flop.",The Little Mermaid,https://www.imdb.com/title/tt5971474/,movie,7.2,135,2023,"Adventure, Family, Fantasy, Musical, Romance",148969,2023-05-08,Rob Marshall
50,tt8373206,2022-10-07,2023-09-21,"May 26th (Lionsgate)
Budget:
3-Day Opening: $4,321,148
4-Day Opening: $5,397,132
Domestic: $12,089,391
International: $6,078,428
Worldwide: $18,167,819

Status: Unknown.",About My Father,https://www.imdb.com/title/tt8373206/,movie,5.7,90,2023,Comedy,10766,2023-05-25,Laura Terruso
51,tt11040844,2023-01-06,2023-07-04,"May 26th (Sony) 
Budget: $20,000,000
3-Day Opening: $5,000,545
4-Day Opening: $5,875,585
Domestic: $10,458,331
International: $205,997
Worldwide: $10,664,328

Status: Massive Flop.",The Machine,https://www.imdb.com/title/tt11040844/,movie,5.8,112,2023,"Action, Comedy",13982,2023-05-24,Peter Atencio
52,tt15771916,2023-03-07,2023-08-29,"May 26th (A24)
Budget:
3-Day Opening: $1,389,158
4-Day Opening: $1,766,201
Domestic: $4,830,788
International: $867,346
Worldwide: $5,698,134

Status: Unknown.",You Hurt My Feelings,https://www.imdb.com/title/tt15771916/,movie,6.6,93,2023,"Comedy, Drama",9371,2023-01-22,Nicole Holofcener
53,tt9362722,2022-04-21,2023-11-28,"June 2nd (Sony) 
Budget: $100,000,000
Opening Weekend: $120,663,589
Domestic: $381,311,319
International: $309,205,354
Worldwide: $690,516,673

Status: Massive Success.",Spider-Man: Across the Spider-Verse,https://www.imdb.com/title/tt9362722/,movie,8.6,140,2023,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",324718,2023-05-31,"Justin K. Thompson, Kemp Powers, Joaquim Dos Santos"
54,tt3427252,2023-01-20,2023-09-14,"June 2nd (Disney/20th Century Studios) 
Budget: $35,000,000
Opening Weekend: $12,356,486
Domestic: $43,244,282
International: $24,062,961
Worldwide: $67,307,243

Status: Flop.",The Boogeyman,https://www.imdb.com/title/tt3427252/,movie,5.9,98,2023,"Horror, Mystery, Thriller",40508,2023-05-31,Rob Savage
55,tt13238346,2023-03-07,2023-12-27,"June 2nd (A24)
Budget:
Opening Weekend: $232,266
Domestic: $10,923,569
International: $10,183,917
Worldwide: $21,107,486

Status: Unknown.",Past Lives,https://www.imdb.com/title/tt13238346/,movie,8.0,105,2023,"Drama, Romance",55922,2023-01-21,Celine Song
56,tt5090568,2022-03-30,2023-08-22,"June 9th (Paramount) 
Budget: $195,000,000
Opening Weekend: $61,045,464
Domestic: $157,066,392
International: $281,900,000
Worldwide: $438,966,392

Status: Flop.",Transformers: Rise of the Beasts,https://www.imdb.com/title/tt5090568/,movie,6.0,127,2023,"Action, Adventure, Sci-Fi",94044,2023-05-27,Steven Caple Jr.
57,tt0439572,2022-03-30,2023-11-28,"June 16th (Warner Bros.)
Budget: $220,000,000
3-Day Opening: $55,043,679
4-Day Opening: $61,204,480
Domestic: $108,133,313
International: $162,500,000
Worldwide: $270,633,313

Status: Flop.",The Flash,https://www.imdb.com/title/tt0439572/,movie,6.7,144,2023,"Action, Adventure, Fantasy, Sci-Fi",194939,2023-06-14,Andy Muschietti
58,tt15789038,2022-05-18,2023-12-27,"June 16th (Disney/Pixar Animation) 
Budget: $200,000,000
3-Day Opening: $29,602,429
4-Day Opening: $34,906,685
Domestic: $154,426,697
International: $341,880,316
Worldwide: $496,307,013

Status: Flop.",Elemental,https://www.imdb.com/title/tt15789038/,movie,7.0,101,2023,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Romance",107703,2023-05-27,Peter Sohn
59,tt14230388,2022-12-07,2023-12-27,"June 16th (Universal/Focus Features)
Budget: $25,000,000
3-Day Opening: $845,143
4-Day Opening: $1,007,770
Domestic: $28,153,025
International: $25,761,108
Worldwide: $53,914,133

Status: Flop.",Asteroid City,https://www.imdb.com/title/tt14230388/,movie,6.5,105,2023,"Comedy, Drama, Romance, Sci-Fi",95418,2023-05-23,Wes Anderson
60,tt11703244,2022-12-01,2023-09-21,"June 16th (Lionsgate)
Budget: $5,000,000
3-Day Opening: $6,013,131
4-Day Opening: $7,191,098
Domestic: $17,707,207
International: $462,246
Worldwide: $18,169,453

Status: Success.",The Blackening,https://www.imdb.com/title/tt11703244/,movie,6.0,97,2022,"Comedy, Horror, Thriller",16497,2022-09-16,Tim Story
61,tt15671028,2022-07-14,2023-12-27,"June 23rd (Sony) 
Budget: $45,000,000
Opening Weekend: $15,002,770
Domestic: $50,452,282
International: $36,804,125
Worldwide: $87,256,407

Status: Flop.",No Hard Feelings,https://www.imdb.com/title/tt15671028/,movie,6.4,103,2023,"Comedy, Romance",124759,2023-06-15,Gene Stupnitsky
62,tt1462764,2022-03-30,2023-11-28,"June 30th (Disney/LucasFilms) 
Budget: $300,000,000
Opening Weekend: $60,368,101
Domestic: $174,480,468
International: $209,482,589
Worldwide: $383,963,057

Status: Massive Flop.",Indiana Jones and the Dial of Destiny,https://www.imdb.com/title/tt1462764/,movie,6.6,154,2023,"Action, Adventure, Sci-Fi",173586,2023-05-18,James Mangold
63,tt27155038,2023-03-16,2023-12-27,"June 30th (Universal)
Budget: $70,000,000
Opening Weekend: $5,500,990
Domestic: $15,753,600
International: $29,767,603
Worldwide: $45,521,203

Status: Massive Flop.","Ruby Gillman, Teenage Kraken",https://www.imdb.com/title/tt27155038/,movie,5.7,91,2023,"Animation, Action, Adventure, Comedy, Family, Fantasy",8559,2023-06-15,"Kirk DeMicco, Faryn Pearl"
64,tt13405778,2022-07-19,2023-11-28,"July 7th (Sony) 
Budget: $16,000,000
Opening Weekend: $33,013,036
Domestic: $82,156,962
International: $106,929,915
Worldwide: $189,086,877

Status: Massive Success.",Insidious: The Red Door,https://www.imdb.com/title/tt13405778/,movie,5.5,107,2023,"Horror, Mystery, Thriller",45257,2023-06-27,Patrick Wilson
65,tt15268244,2023-04-20,2023-11-28,"July 7th (Lionsgate)
Budget: 
Opening Weekend: $5,806,277
Domestic: $12,897,789
International: $2,890,140
Worldwide: $15,787,929

Status: Unknown.",Joy Ride,https://www.imdb.com/title/tt15268244/,movie,6.4,95,2023,Comedy,19178,2023-03-17,Adele Lim
66,tt9603212,2022-03-30,2023-10-19,"July 12th (Wednesday) (Paramount) 
Budget: $291,000,000
3-Day Opening: $54,688,347
5-Day Opening: $80,004,000
Domestic: $172,135,383
International: $395,400,000
Worldwide: $567,535,383

Status: Flop.",Mission: Impossible - Dead Reckoning Part One,https://www.imdb.com/title/tt9603212/,movie,7.7,163,2023,"Action, Adventure, Thriller",209150,2023-06-19,Christopher McQuarrie
67,tt26224944,2023-05-17,2023-11-28,"July 14th (Sony/Crunchyroll)
Budget: 
Opening Weekend: $210,219
Domestic: $309,757
International: $331,068
Worldwide: $640,825

Status: Unknown.",Psycho-Pass: Providence,https://www.imdb.com/title/tt26224944/,movie,6.9,120,2023,"Animation, Action, Crime, Mystery, Sci-Fi, Thriller",344,2023-05-12,Naoyoshi Shiotani
68,tt21232992,2023-03-11,2023-12-27,"July 14th (Disney/Searchlight Pictures)
Budget: 
Opening Weekend: $301,220
Domestic: $4,009,945
International: $396,429
Worldwide: $4,406,374

Status: Unknown.",Theater Camp,https://www.imdb.com/title/tt21232992/,movie,7.0,92,2023,Comedy,13156,2023-01-21,"Nick Lieberman, Molly Gordon"
69,tt1517268,2022-04-27,2023-12-27,"July 21st (Warner Bros.) 
Budget: $145,000,000
Opening Weekend: $162,022,044
Domestic: $636,220,453
International: $805,600,000
Worldwide: $1,441,820,453

Status: Massive Success.",Barbie,https://www.imdb.com/title/tt1517268/,movie,6.9,114,2023,"Adventure, Comedy, Fantasy",445043,2023-07-09,Greta Gerwig
70,tt15398776,2022-03-30,2023-12-27,"July 21st (Universal) 
Budget: $100,000,000
Opening Weekend: $82,455,420
Domestic: $326,081,985
International: $625,934,000
Worldwide: $952,015,985

Status: Massive Success. ",Oppenheimer,https://www.imdb.com/title/tt15398776/,movie,8.4,180,2023,"Biography, Drama, History",577830,2023-07-11,Christopher Nolan
71,tt9100018,2023-04-09,2023-11-28,"July 21st (Lionsgate)
Budget: 
Opening Weekend: 
Domestic: 
International: $8,052,602
Worldwide: $8,052,602

Status: Unknown.",Cobweb,https://www.imdb.com/title/tt9100018/,movie,6.0,88,2023,"Horror, Thriller",25926,2023-07-20,Samuel Bodin
72,tt1695843,2023-02-17,2023-11-28,"July 28th (Disney)
Budget: $150,000,000
Opening Weekend: $24,082,475
Domestic: $67,653,287
International: $49,796,503
Worldwide: $117,449,790

Status: Massive Flop.",Haunted Mansion,https://www.imdb.com/title/tt1695843/,movie,6.1,123,2023,"Comedy, Drama, Family, Fantasy, Horror, Mystery",39145,2023-07-15,Justin Simien
73,tt10638522,2023-03-07,2023-12-27,"July 28th (A24)
Budget: $4,500,000
Opening Weekend: $10,431,720
Domestic: $48,299,436
International: $43,738,969
Worldwide: $92,038,405

Status: Massive Success.",Talk to Me,https://www.imdb.com/title/tt10638522/,movie,7.1,95,2022,"Horror, Thriller",116637,2022-10-30,"Danny Philippou, Michael Philippou"
74,tt8589698,2022-03-30,2023-11-28,"August 2nd (Wednesday) (Paramount) 
Budget: $70,000,000
3-Day Opening: $28,007,544
5-Day Opening: $43,081,012
Domestic: $118,613,586
International: $61,900,000
Worldwide: $180,513,586

Status: Success.",Teenage Mutant Ninja Turtles: Mutant Mayhem,https://www.imdb.com/title/tt8589698/,movie,7.2,99,2023,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",54211,2023-07-31,"Jeff Rowe, Kyler Spears"
75,tt9224104,2022-03-30,2023-10-19,"August 4th (Warner Bros.)
Budget: $130,000,000
Opening Weekend: $30,002,735
Domestic: $82,600,317
International: $312,400,000
Worldwide: $395,000,317

Status: Success.",Meg 2: The Trench,https://www.imdb.com/title/tt9224104/,movie,5.0,116,2023,"Action, Adventure, Horror, Sci-Fi, Thriller",69613,2023-06-09,Ben Wheatley
