Position,Const,Created,Modified,studio,budget,opening_weekend,domestic,international,worldwide,status,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,
71,tt9100018,2023-04-09,2023-11-28,"Lionsgate",,,,8052602,8052602,Unknown,Cobweb,https://www.imdb.com/title/tt9100018/,movie,6,88,2023,"Horror, Thriller",25926,2023-07-20,"Samuel Bodin",
74,tt8589698,2022-03-30,2023-11-28,"Paramount",70000000,28007544,118613586,61900000,180513586,Success,Teenage Mutant Ninja Turtles: Mutant Mayhem,https://www.imdb.com/title/tt8589698/,movie,7.2,99,2023,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",54211,2023-07-31,"Jeff Rowe, Kyler Spears",
77,tt1001520,2022-03-30,2023-12-05,"Universal",45000000,6504950,13637180,8148867,21786047,Massive Flop,The Last Voyage of the Demeter,https://www.imdb.com/title/tt1001520/,movie,6.1,118,2023,"Fantasy, Horror",40072,2023-08-09,"André Øvredal",
78,tt9362930,2022-03-30,2023-11-28,"Warner Bros.",104000000,25030225,72488072,56800000,129288072,Massive Flop,Blue Beetle,https://www.imdb.com/title/tt9362930/,movie,6,127,2023,"Action, Adventure, Sci-Fi, Thriller",82014,2023-08-16,"Angel Manuel Soto",
79,tt15153532,2023-05-08,2023-12-27,"Universal",46000000,8247810,23988885,12035602,36024487,Massive Flop,Strays,https://www.imdb.com/title/tt15153532/,movie,6.3,93,2023,"Adventure, Comedy",22967,2023-08-17,"Josh Greenbaum",
82,tt6906292,2023-07-12,2023-12-27,"Lionsgate",20000000,3518830,6937696,11748055,18685751,Massive Flop,Retribution,https://www.imdb.com/title/tt6906292/,movie,5.3,91,2023,"Action, Thriller",15313,2023-08-23,"Nimród Antal",
84,tt17024450,2022-04-21,2023-12-27,"Sony",70000000,34600000,92373751,98617316,190991067,Success,The Equalizer 3,https://www.imdb.com/title/tt17024450/,movie,6.8,109,2023,"Action, Crime, Thriller",83445,2023-08-30,"Antoine Fuqua",
102,tt14849194,2023-02-24,2023-12-27,"Universal/Focus Features",,211093,17815495,792577,18608072,Unknown,The Holdovers,https://www.imdb.com/title/tt14849194/,movie,8,133,2023,"Comedy, Drama",39200,2023-08-31,"Alexander Payne",
112,tt17351924,2023-07-27,2023-12-27,"Amazon",,322651,11010120,8103135,19113255,Unknown,Saltburn,https://www.imdb.com/title/tt17351924/,movie,7.2,131,2023,"Comedy, Drama, Thriller",69648,2023-08-31,"Emerald Fennell",
125,tt21192142,2023-08-07,2023-12-27,"Disney/Searchlight Pictures",,117965,153272,,153272,Unknown,All of Us Strangers,https://www.imdb.com/title/tt21192142/,movie,8.1,105,2023,"Drama, Fantasy, Romance",2302,2023-08-31,"Andrew Haigh",
96,tt18363072,2023-09-08,2023-12-27,"Neon",,331010,780263,277647,1057910,Unknown,The Royal Hotel,https://www.imdb.com/title/tt18363072/,movie,5.9,91,2023,Thriller,6378,2023-09-01,"Kitty Green",
117,tt14230458,2023-04-28,2023-12-27,"Disney/Searchlight Pictures",,661230,5870031,,5870031,Unknown,Poor Things,https://www.imdb.com/title/tt14230458/,movie,8.5,141,2023,"Comedy, Drama, Romance, Sci-Fi",15803,2023-09-01,"Yorgos Lanthimos",
101,tt22041854,2023-08-29,2023-12-27,"A24",,132139,20864910,76003,20940913,Unknown,Priscilla,https://www.imdb.com/title/tt22041854/,movie,6.7,113,2023,"Biography, Drama, Music, Romance",12502,2023-09-04,"Sofia Coppola",
85,tt10160976,2022-08-24,2023-11-28,"Warner Bros.",38500000,32603336,86267073,181800000,268067073,Massive Success,The Nun II,https://www.imdb.com/title/tt10160976/,movie,5.6,110,2023,"Horror, Mystery, Thriller",52401,2023-09-06,"Michael Chaves",
86,tt21103300,2023-02-22,2023-12-27,"Universal/Focus Features",,10028675,28496030,10320251,38816281,Unknown,My Big Fat Greek Wedding 3,https://www.imdb.com/title/tt21103300/,movie,5.2,92,2023,"Comedy, Drama, Romance",7010,2023-09-06,"Nia Vardalos",
95,tt7130916,2023-08-06,2023-12-27,"A24",,201951,1453012,18303,1471315,Unknown,Dicks: The Musical,https://www.imdb.com/title/tt7130916/,movie,5.5,86,2023,"Comedy, Musical",1806,2023-09-07,"Larry Charles",
88,tt13957560,2023-03-10,2023-12-27,"Sony",,220947,13925356,6590539,20515895,Unknown,Dumb Money,https://www.imdb.com/title/tt13957560/,movie,6.9,105,2023,"Biography, Comedy, Drama",23265,2023-09-08,"Craig Gillespie",
89,tt3291150,2022-10-07,2023-12-27,"Lionsgate",100000000,8039021,16710153,21202137,37912290,Massive Flop,Expend4bles,https://www.imdb.com/title/tt3291150/,movie,4.8,103,2023,"Action, Adventure, Thriller, War",29089,2023-09-08,"Scott Waugh",
119,tt23561236,2023-09-21,2023-12-27,"MGM",,224469,913771,,913771,Unknown,American Fiction,https://www.imdb.com/title/tt23561236/,movie,7.7,117,2023,"Comedy, Drama",2315,2023-09-08,"Cord Jefferson",
106,tt21942866,2023-08-14,2023-12-27,"A24",,220035,5591254,1185784,6777038,Unknown,Dream Scenario,https://www.imdb.com/title/tt21942866/,movie,7.1,102,2023,"Comedy, Horror",20008,2023-09-09,"Kristoffer Borgli",
